season,round,Date,HT,AT,HomeS,AwayS,result,AvgHGF,AvgHGA,AvgAGF,AvgAGA,HGF,HGA,AGF,AGA,HTHG,HTAG,HTR,HPL,HRD,HRW,APL,ARD,ARW,HSHOT,ASHOT,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
1011,6,2025-09-10,Arsenal,West Brom,2,3,A,2.80,0.80,1.00,1.80,2.80,0.80,1.00,1.80,0,0,D,0.20,0.20,0.00,0.00,0.00,0.40,0.56,0.47,M Oliver,24,7,12,5,15,14,16,4,4,3,0,0,1.22,6,15
1011,6,2025-09-10,Birmingham,Wigan,0,0,D,1.40,1.60,0.40,2.60,1.40,1.60,0.40,2.60,0,0,D,0.00,0.40,0.20,0.00,0.00,0.60,0.50,0.44,M Clattenburg,10,17,4,10,12,18,3,7,2,3,1,0,1.83,3.5,4.5
1011,6,2025-09-10,Blackpool,Blackburn,1,2,A,1.60,2.40,1.00,1.20,1.60,2.40,1.00,1.20,0,1,A,0.40,0.00,0.60,0.20,0.40,0.00,0.48,0.42,M Dean,11,13,8,8,12,11,8,8,2,1,0,0,3.2,3.25,2.3
1011,6,2025-09-10,Fulham,Everton,0,0,D,1.40,1.20,0.80,1.40,1.40,1.20,0.80,1.40,0,0,D,0.00,0.20,0.60,0.00,0.20,0.60,0.51,0.57,H Webb,12,15,2,7,15,13,4,5,2,1,0,0,2.75,3.2,2.63
1011,6,2025-09-10,Liverpool,Sunderland,2,2,D,0.80,1.40,1.00,1.00,0.80,1.40,1.00,1.00,1,1,D,0.00,0.00,0.40,0.00,0.20,0.20,0.49,0.38,S Attwell,13,10,5,1,15,7,3,3,3,1,0,0,1.44,4.33,7.5
1011,6,2025-09-10,Man City,Chelsea,1,0,H,1.20,0.40,4.20,0.20,1.20,0.40,4.20,0.20,0,0,D,0.40,0.00,0.20,1.00,0.00,0.00,0.59,0.60,A Marriner,8,15,6,4,10,12,3,4,2,3,0,0,3.6,3.3,2.1
1011,6,2025-09-10,West Ham,Tottenham,1,0,H,0.60,2.60,1.20,0.80,0.60,2.60,1.20,0.80,1,0,H,0.00,0.20,0.60,0.20,0.00,0.20,0.41,0.67,M Atkinson,22,17,15,11,10,11,14,7,2,0,0,0,3.5,3.4,2.1
1011,6,2026-09-10,Bolton,Man United,2,2,D,1.40,1.60,2.80,1.40,1.40,1.60,2.80,1.40,1,1,D,0.00,0.00,0.20,0.60,0.20,0.00,0.70,0.54,P Dowd,15,12,9,6,16,18,7,12,1,2,0,0,7.5,4,1.5
1011,6,2026-09-10,Newcastle,Stoke,1,2,A,1.60,1.20,1.00,1.60,1.60,1.20,1.00,1.60,1,0,H,0.40,0.00,0.60,0.00,0.00,1.00,0.59,0.51,M Jones,11,8,7,2,8,11,3,4,0,1,0,0,1.91,3.4,4.2
1011,6,2026-09-10,Wolves,Aston Villa,1,2,A,1.20,1.60,1.20,1.80,1.20,1.60,1.20,1.80,0,1,A,0.20,0.60,0.20,0.40,0.20,0.20,0.46,0.47,M Halsey,14,10,12,8,15,19,5,4,1,2,0,0,2.88,3.25,2.5
1011,7,2002-10-10,Birmingham,Everton,0,2,A,1.17,1.33,0.67,1.17,1.00,1.20,0.80,1.20,0,0,D,0.00,0.40,0.20,0.20,0.20,0.60,0.47,0.52,P Dowd,6,11,3,6,5,11,6,5,0,0,0,0,2.88,3.1,2.63
1011,7,2002-10-10,Stoke,Blackburn,1,0,H,1.50,1.67,1.50,1.33,1.20,1.40,1.20,1.40,0,0,D,0.00,0.00,0.80,0.20,0.40,0.00,0.44,0.48,H Webb,18,7,11,4,8,13,8,6,2,3,0,0,2.25,3.2,3.4
1011,7,2002-10-10,Sunderland,Man United,0,0,D,1.50,1.50,3.00,1.83,1.00,1.00,2.60,1.80,0,0,D,0.20,0.20,0.00,0.80,0.00,0.00,0.33,0.53,C Foy,14,10,8,4,10,6,10,4,1,2,0,0,5,3.5,1.75
1011,7,2002-10-10,Tottenham,Aston Villa,2,1,H,1.00,1.00,1.67,1.83,1.20,1.00,1.00,2.00,1,1,D,0.20,0.20,0.40,0.40,0.20,0.00,0.64,0.54,M Clattenburg,19,13,10,4,12,19,10,4,1,3,0,0,1.91,3.5,4
1011,7,2002-10-10,West Brom,Bolton,1,1,D,1.83,2.17,1.50,1.67,1.60,1.00,1.80,2.00,0,0,D,0.20,0.00,0.20,0.00,0.00,0.20,0.54,0.68,P Walton,17,10,9,5,8,10,7,4,3,2,0,0,2.1,3.25,3.75
1011,7,2002-10-10,West Ham,Fulham,1,1,D,0.67,2.17,1.17,1.00,0.80,2.00,1.40,1.20,0,1,A,0.20,0.20,0.40,0.00,0.20,0.40,0.51,0.43,A Marriner,12,17,5,5,15,8,2,3,3,1,0,0,2.25,3.25,3.3
1011,7,2002-10-10,Wigan,Wolves,2,0,H,0.33,2.17,1.17,1.67,0.40,1.80,1.00,1.80,0,0,D,0.20,0.00,0.40,0.20,0.60,0.20,0.45,0.52,L Mason,24,2,17,0,9,12,3,3,1,2,0,1,2.25,3.25,3.3
1011,7,2003-10-10,Chelsea,Arsenal,2,0,H,3.50,0.50,2.67,1.17,3.00,0.40,3.00,1.20,1,0,H,0.80,0.20,0.00,0.20,0.40,0.00,0.51,0.56,M Dean,11,13,6,5,7,12,10,10,1,1,0,0,1.73,3.6,5
1011,7,2003-10-10,Liverpool,Blackpool,1,2,A,1.00,1.50,1.50,2.33,1.00,1.60,1.00,2.80,0,2,A,0.00,0.00,0.40,0.20,0.20,0.60,0.45,0.47,M Jones,19,11,10,7,11,10,5,2,2,1,0,0,1.33,5,10
1011,7,2003-10-10,Man City,Newcastle,2,1,H,1.17,0.33,1.50,1.33,1.40,0.40,1.80,1.00,1,1,D,0.40,0.00,0.20,0.40,0.20,0.40,0.61,0.63,M Atkinson,9,8,5,4,11,13,4,4,3,2,0,0,1.44,4,8.5
1011,8,2016-10-10,Arsenal,Birmingham,2,1,H,2.29,1.57,1.00,1.43,1.80,1.60,0.60,1.40,1,1,D,0.00,0.40,0.20,0.00,0.40,0.20,0.51,0.43,M Atkinson,18,6,13,4,16,9,7,3,2,2,1,0,1.29,5.5,11
1011,8,2016-10-10,Aston Villa,Chelsea,0,0,D,1.71,2.14,3.29,0.43,1.20,1.20,2.20,0.40,0,0,D,0.40,0.20,0.00,0.60,0.20,0.00,0.53,0.46,L Mason,11,13,5,6,11,11,9,5,4,3,0,0,5,3.6,1.73
1011,8,2016-10-10,Bolton,Stoke,2,1,H,1.57,1.71,1.43,1.43,1.40,2.00,1.20,1.00,1,0,H,0.20,0.00,0.20,0.00,0.00,0.60,0.64,0.43,P Walton,11,8,6,3,10,8,5,6,2,2,1,0,2.2,3.2,3.5
1011,8,2016-10-10,Fulham,Tottenham,1,2,A,1.29,1.14,1.14,1.00,1.20,1.00,1.20,1.00,1,1,D,0.00,0.40,0.40,0.00,0.00,0.20,0.39,0.57,M Dean,11,14,5,6,9,10,4,11,1,1,0,0,2.88,3.25,2.5
1011,8,2016-10-10,Man United,West Brom,2,2,D,2.57,1.57,1.71,2.00,2.20,1.40,1.60,1.20,2,0,H,0.80,0.00,0.00,0.20,0.00,0.00,0.51,0.55,M Jones,16,7,9,2,10,7,3,2,1,2,0,0,1.25,5.75,12
1011,8,2016-10-10,Newcastle,Wigan,2,2,D,1.57,1.71,0.57,1.86,0.80,1.40,0.80,0.60,0,2,A,0.60,0.40,0.20,0.00,0.00,0.20,0.59,0.45,M Halsey,9,8,4,4,13,14,6,3,2,1,0,0,1.83,3.5,4.5
